nb;en;fr;de;nn;se;fkv
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit;I do not need unusually strong external structure to function well.;Je n’ai pas besoin d’une structure externe inhabituelle pour fonctionner correctement.;Ich brauche keine ungewöhnlich starke äußere Struktur, um gut zu funktionieren.;Eg treng ikkje uvanleg mykje ytre struktur for å fungere greitt;Mun in gáibida unnánge eará ođđa struktuvrra vai sávan bures bargat;En tarvi epänormaalin paljon ulkopuolista struktuuria toimiakseni hyvin
Kort om testen;Short description of the test;Bref au sujet du test;Kurzinformation zum Test;Kort om testen;Korte sániin;Lyhyesti testistä
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.;This test illustrates what the absence of attention and regulation difficulties can look like.;Ce test illustre à quoi peut ressembler l’absence de difficultés d’attention et d’autorégulation.;Dieser Test zeigt, wie das Fehlen von Aufmerksamkeits- und Regulationsschwierigkeiten aussehen kann.;Denne testen viser korleis fråvær av merksemds- og reguleringsvanskar kan sjå ut.;Dát geahččaleapmi čájeha mo duššehuhttin- ja regulerenváttisvuođa váilluhanjavdnat sáhttet oidnot.;Tämä testi näyttää, millaista voipi olla ilman keskittymis- ja säätelyvaikeuksia.
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.;It is not diagnostic. It can neither confirm nor rule out ADHD.;Il n’est pas diagnostique. Il ne peut ni confirmer ni infirmer un TDAH.;Er ist nicht diagnostisch. Er kann weder ADHS bestätigen noch ausschließen.;Ho er ikkje diagnostisk. Ho kan verken stadfeste eller avkrefte ADHD.;Ii leat diagnostihkalaš. Dat ii sáhte gudnejahttit dahje hilmmat ADHD.;Se ei ole diagnostinen. Se ei voi vahvistaat taikka kiistõät ADHD:tä.
Beregn resultat;Calculate result;Calculer le résultat;Ergebnis berechnen;Rekn ut resultat;Rehkenastte bohtosa;Laske tulos
Spørsmål;Questions;Questions;Fragen;Spørsmål;Jearaldagat;Kysymykset
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.;Move each slider to indicate how well the statement has applied to you over time.;Faites glisser chaque curseur pour indiquer à quel point l’énoncé vous correspond au fil du temps.;Bewege jeden Schieberegler, um auszuwählen, wie gut die Aussage über längere Zeit auf dich zutrifft.;Dra i kvar glidebrytar for å velje kor godt utsegnet har stemt for deg over tid.;Sirdde juoga geavaheaddji áššiid válljemiiguin vai fuotnavuođat ođasmahttojuvvojit áiggi mielde.;Vedä jokaista liukua valitaksesi, kuin hyvästi lausuma soppii sinule ajassa.
Resultat;Result;Résultat;Ergebnis;Resultat;Bohtosa;Tulos
Tolkning;Interpretation;Interprétation;Interpretation;Tolkning;Jearaldat;Tulkinta
Gjennomsnittsskår;Average score;Score moyen;Durchschnittswert;Gjennomsnittsskår;Ovttastat čuoggáŋ;Keskiarvopisteet
Forbehold;Reservations;Réserves;Vorbehalte;Atterhald;Viehkkimusat;Varaukset
En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.;A clinical assessment includes developmental history, daily functioning, and professional judgement.;Une évaluation clinique implique l’histoire du développement, le fonctionnement et le jugement professionnel.;Eine klinische Beurteilung umfasst Entwicklungsgeschichte, Funktion und fachliche Einschätzung.;Ei klinisk vurdering inneber utviklingshistorie, funksjon og fagleg skjøn.;Earádiagnostihkalaš dáhkku galgá čuovvut ovdánahttinhistorjjá, funkšuvnna ja fágalaš dieđuid.;Kliininen arviointi sisältää kehityshistoorian, toimintakyvyn ja ammattimaisen harkinannan.
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD.;People can have low structure or high pace without it being related to ADHD.;On peut avoir peu de structure ou un rythme élevé sans que cela relève du TDAH.;Menschen können wenig Struktur oder hohes Tempo haben, ohne dass es um ADHS geht.;Menneske kan ha låg struktur eller høg fart utan at det handlar om ADHD.;Olbmot sáhttet leat unnán struktur dahje hui bures fásta, muhto dat ii mearkkaš guđe buot lea ADHD.;Ihmisillä voipi olla vähä rakenne taikka korkea tempo ilman että se oon ADHD:stä kiini.
Stemmer ikke;Does not apply;Ne correspond pas du tout;Trifft nicht zu;Stemmer ikkje;Ii heive;Ei sovi
Litt;A little;Un peu;Wenig;Litt;Unnit;Vähä
Delvis;Partly;Partiellement;Teilweise;Delvis;Oassi;Osaksi
Ganske;Quite a bit;Assez;Ziemlich;Ganske;Arggat;Aika paljon
Stemmer helt;Fully applies;Correspond tout à fait;Trifft völlig zu;Stemmer heilt;Heivet ollu;Soppii kokonhaan
Skift språk;Change language;Changer de langue;Sprache wechseln;Skift språk;Šeaŋggat giela;Skift kieli
Du må svare på alle utsagn før resultatet kan beregnes.;You must answer all statements before the result can be calculated.;Vous devez répondre à toutes les affirmations avant que le résultat puisse être calculé.;Du musst alle Aussagen beantworten, bevor das Ergebnis berechnet werden kann.;Du må svare på alle utsegna før resultatet kan reknast ut.;Don ferte vahččat buot dadjat ovdal go sáhttá arvvoštallat bohtosa.;Sinun pittää vastata kaikkiin väitteisiin ennenkuin tulos voijaan laskea.
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD. Hverdagen virker stabil og forutsigbar.;Your answers show few traits resembling the regulation difficulties seen in ADHD. Everyday life appears stable and predictable.;Vos réponses montrent peu de caractéristiques ressemblant aux difficultés de régulation que l’on observe dans le TDAH. Le quotidien semble stable et prévisible.;Deine Antworten zeigen nur wenige Merkmale, die den Regulationsschwierigkeiten bei ADHS ähneln. Dein Alltag wirkt stabil und vorhersehbar.;Svara dine viser få trekk som liknar dei reguleringsvanskane ein ser ved ADHD. Kvardagen verkar stabil og føreseieleg.;Don dáhtutvuođain čájehit unnit láhtuheapmavuođaid mat leaš go lea ADHD. Áiggis du árgabeaivi muitalaš geatnegahttit.;Sinun vastaukset osoittavat vain harvoja piirteitä, jokka muistuttavat niistä säätelyvankoista mitä nähthään ADHD:ssa. Arki näyttäy tasaiselta ja ennustettavalta.
Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.;Your pattern falls well within normal variation: some strengths, some friction, but nothing pointing clearly in one direction.;Votre profil se situe bien dans la variation normale : quelques forces, un peu de friction, mais rien qui pointe nettement dans une direction.;Dein Muster liegt klar innerhalb der normalen Variation: einige Stärken, etwas Reibung, aber nichts som weist deutlich in eine Richtung.;Mønsteret ditt ligg godt innanfor normal variasjon: nokre styrkar, litt friksjon, men ingenting som peikar klart i éi retning.;Du vuohki lea olámuttus normálalaš: muhtun dáhkkiid, muhtun nanna, muhto eai makkárge čielggas hástalusat.;Sinun malli männee hyvin tavallisen vaihtelun sisäle: jotaki vahvuuksia, vähän kitkaa, mutta ei mitn joka osoittais selvästi yhteen suuntaan.
Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.;You report several traits that can resemble ADHD, but these may just as well reflect personality, habits, or life circumstances.;Vous rapportez plusieurs traits pouvant rappeler le TDAH, mais cela peut tout aussi bien relever de la personnalité, des habitudes ou de votre situation de vie.;Du berichtest einige Merkmale, die an ADHS erinnern können, aber das kann ebenso gut mit Persönlichkeit, Gewohnheiten oder Lebenssituation zu tun haben.;Du rapporterer ein del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlegdom, vanar eller livssituasjon.;Don dieđuhit muhtun dáhkkiid mat sáhttet geavahit ADHD, muhto dát sáhttá maid leat persovnnalaš láhčit, heiveheapmi dahje eluvuohta.;Sää raportoit joitaki piirteitä, jokka voijat muistuttaa ADHD:ta, mutta tämä voijaan yhtä hyvin johtua persoonasta, tavoista eli elämäntilanteesta.
Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.;You describe several areas that often create difficulties in ADHD. This is still not a diagnosis, but if these issues affect your daily life, a more formal assessment might be worthwhile.;Vous décrivez plusieurs domaines qui, souvent, posent des difficultés chez les personnes avec TDAH. Ce n’est toujours pas un diagnostic, mais il peut valoir la peine de demander une évaluation plus formelle si cela crée des problemer dans le quotidien.;Du beschreibst mehrere Bereiche, die bei ADHS oft zu Schwierigkeiten führen. Das ist dennoch keine Diagnostik, aber eine formellere Abklärung kann sinnvoll sein, falls es den Alltag belastet.;Du skildrar fleire område som ofte skaper vanskar ved ADHD. Dette er framleis ikkje diagnostikk, men det kan vere verdt ei meir formell vurdering dersom dette skaper problem i kvardagen.;Don čilge muhtun guovlluid mat dávjá čuovvulehket ADHD. Ii leat diagnostihkka, muhto sáhttá leat árvvoštallamatge go dát dagaha váttisvuođaid árbevirolaččat.;Sää kuvvailet useita alueita, jokka tiijethään luovan hankaluuksia ADHD:ssa. Tämä ei ole vieläkhään diagnostiikkaa, mutta se voijaa olla arvholista harkita virrallista arviointia jos tämä luopi probleemia arjessa.
 av 5; of 5; sur 5; von 5; av 5; 5:s lea; 5:stä
Sendt;Sent;Envoyé;Gesendet;Sendt;Sádde;Lähetetty
